"artist_id","followers","genres","image_middle","name","popularity","external_urls","href","uri"
"5dmMpIyAVaH6b9FLFgWPrF",105779,"baroque,classical,classical performance,early music,italian baroque",https://i.scdn.co/image/0ae0253fe36151eea5dc09fb5731004c416c7a23,Arcangelo Corelli,55,https://open.spotify.com/artist/5dmMpIyAVaH6b9FLFgWPrF,https://api.spotify.com/v1/artists/5dmMpIyAVaH6b9FLFgWPrF,spotify:artist:5dmMpIyAVaH6b9FLFgWPrF
"3KYehrHWNpYfNMpJe0kBML",19939,"barockinterpreten,baroque ensemble,classical performance,early music,early music ensemble,historically informed performance",https://i.scdn.co/image/c3ae22fd7197aa9d0f592a6b18bc2f49cacb264b,Musica Antiqua Köln,40,https://open.spotify.com/artist/3KYehrHWNpYfNMpJe0kBML,https://api.spotify.com/v1/artists/3KYehrHWNpYfNMpJe0kBML,spotify:artist:3KYehrHWNpYfNMpJe0kBML
"2ozcTa5tl8qhSbhJKM60I5",16057,"choral,classical performance,early music,orchestral performance",https://i.scdn.co/image/fdc00ee8469c09174b49fa048f3954d086ff5ded,Philippe Herreweghe,49,https://open.spotify.com/artist/2ozcTa5tl8qhSbhJKM60I5,https://api.spotify.com/v1/artists/2ozcTa5tl8qhSbhJKM60I5,spotify:artist:2ozcTa5tl8qhSbhJKM60I5
"5y9NnD1AZPcBVbDluRgiXS",28915,"british choir,choral,classical,classical performance,early music,early music choir,early music ensemble,polyphony",https://i.scdn.co/image/ab67616100005174695842b211c9fa69b92ccdd3,The Sixteen,42,https://open.spotify.com/artist/5y9NnD1AZPcBVbDluRgiXS,https://api.spotify.com/v1/artists/5y9NnD1AZPcBVbDluRgiXS,spotify:artist:5y9NnD1AZPcBVbDluRgiXS
"32nW8kGbs65y8CSlIvREuc",57929,"british choir,choral,contemporary choir,vocal ensemble",https://i.scdn.co/image/ab6761610000517457990518428b8eb5a34c7b9a,Voces8,48,https://open.spotify.com/artist/32nW8kGbs65y8CSlIvREuc,https://api.spotify.com/v1/artists/32nW8kGbs65y8CSlIvREuc,spotify:artist:32nW8kGbs65y8CSlIvREuc
"5I9z6LxaZKoHkyYDP9SGMo",1152,classical soprano,https://i.scdn.co/image/ab67616d00001e02adca925c89fb97fe2b6fd3cf,Emily Van Evera,23,https://open.spotify.com/artist/5I9z6LxaZKoHkyYDP9SGMo,https://api.spotify.com/v1/artists/5I9z6LxaZKoHkyYDP9SGMo,spotify:artist:5I9z6LxaZKoHkyYDP9SGMo
"1pl7nw0L88oUuQP5WQoePL",4168,"classical cello,classical performance",https://i.scdn.co/image/a35e7eb723089eef4a619e3ad41abf5f09f1f5b4,Lynn Harrell,35,https://open.spotify.com/artist/1pl7nw0L88oUuQP5WQoePL,https://api.spotify.com/v1/artists/1pl7nw0L88oUuQP5WQoePL,spotify:artist:1pl7nw0L88oUuQP5WQoePL
"0eFWE9EaJuZDpmKFJjTRXR",1505,"baroque ensemble,classical performance,historically informed performance",https://i.scdn.co/image/ab67616d00001e02a39da36de91ad2242b4e4f64,Musica Amphion,28,https://open.spotify.com/artist/0eFWE9EaJuZDpmKFJjTRXR,https://api.spotify.com/v1/artists/0eFWE9EaJuZDpmKFJjTRXR,spotify:artist:0eFWE9EaJuZDpmKFJjTRXR
"4mytSLGOv0gtoU80BrGg7G",451,"classical soprano,japanese classical performance",,Yukari Nonoshita,24,https://open.spotify.com/artist/4mytSLGOv0gtoU80BrGg7G,https://api.spotify.com/v1/artists/4mytSLGOv0gtoU80BrGg7G,spotify:artist:4mytSLGOv0gtoU80BrGg7G
"31UpASs8WklOdK5tfVTRjb",2391,"baroque ensemble,classical performance,early music ensemble",https://i.scdn.co/image/c7e76e326db5e1d3d33bfbfa7c05e7bf5a3e1fba,Ricercar Consort,27,https://open.spotify.com/artist/31UpASs8WklOdK5tfVTRjb,https://api.spotify.com/v1/artists/31UpASs8WklOdK5tfVTRjb,spotify:artist:31UpASs8WklOdK5tfVTRjb
