user_id,artist_id,time_period,timestamp,position
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,02MmPm2lHcKJX690myksja,short,1668438423.777431,14
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,0xAwkirC20AKSXMGx4WTXf,short,1668438423.777431,15
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,3CPcfo6XhPWZLjJGuA7ceL,short,1668438423.777431,16
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,6GCEsZ31bXy5aSlaWODuLE,short,1668438423.777431,17
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,7ciUlbAc461mRvHx3YmIYk,short,1668438423.777431,18
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,4HXMcKK5KjlXNODUYu6KaC,short,1668438423.777431,19
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,6QOB2WcWBCY3NUbPckI1vS,short,1668438423.777431,20
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,2smq7swJRcn7neobinV4iU,short,1668438423.777431,21
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,0B1zVeHDNmIi25Jgs67fAh,short,1668438423.777431,22
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,0Vyyyggh3HAUVLxcD4EKLC,short,1668438423.777431,23
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,5Pwc4xIPtQLFEnJriah9YJ,short,1668438423.777431,24
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,1ho9WzVRaTXwKG9GQMszKg,short,1668438423.777431,25
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,27HGBIeu1KLldS94Tye7yE,short,1668438423.777431,26
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,4lu50np3LdTkRL09T7x8UP,short,1668438423.777431,27
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,041iTeoMIwXMlShuQPIVKo,short,1668438423.777431,28
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,04m3oUGzjO3EJTQidFzTgM,short,1668438423.777431,29
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,3HRRzIZNQFus3xlUx2xKy1,short,1668438423.777431,30
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,6mS5GeFyhea6w9OKo8PO3p,medium,1668438423.777431,0
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,6eNOjuJSfKkAvbiGW90AkZ,medium,1668438423.777431,1
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,5RPzPJCg4ER1LzQkorZ31p,medium,1668438423.777431,2
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,7ry8L53T4oJtSIogGYuioq,medium,1668438423.777431,3
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,5tDjiBYUsTqzd0RkTZxK7u,medium,1668438423.777431,4
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,5j4HeCoUlzhfWtjAfM1acR,medium,1668438423.777431,5
e2d9a13b7bec3fcc9f6d8c4bb4b75357e5b13f06a3d41239716bc6f8ed412c0f,6J2749jPHYhAZUq79rsNi0,medium,1668438423.777431,6
