user_id,genre_name,rec_id,start_ts
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,reggae,5a173e39-c860-4c52-baf8-fdecccd4705f,1666364081.1059375
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,electronic,dc449f5d-7bcb-4f74-94de-e6bc33fb0e8f,1666364347.5617142
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,classical,ecb7fdbf-a762-487e-997f-2dd5d0a5c567,1666365375.5408962
12f2e84ef897c8e32d9919871acbe861b4ac4b5ef261170a1a05b05518b6974b,jazz,0aa027dd-884f-4791-a483-ca34598eb5fe,1666491214.488031
1dbfdf95b6c701b8852fd90799cc45ddba10435d8e9e15af0109fbdd80bb8a85,classical,4b8051c7-77a8-4e6e-a92c-8f4c809c6778,1666679183.9337127
1dbfdf95b6c701b8852fd90799cc45ddba10435d8e9e15af0109fbdd80bb8a85,rnb,964d3302-7f7f-4e96-8e67-d9573eeb7b6b,1666679252.309581
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,electronic,96fa46d5-cf88-40c2-8b6d-e61dc0763bb9,1666778155.9677982
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,latin,0cf75c28-a46b-43d5-98cd-194d5f9aff1e,1666789912.1214864
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,rap,1fed6b23-2c61-463a-9c82-e3f969684c53,1666789960.3555448
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,rap,60bb2af8-f21e-4d0a-9044-0661d40ac018,1666864149.782086
d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,classical,5bc76c24-de27-4fd5-b5cb-ceec175f6bfe,1666864608.7864003
c90398ac27b0f7ed99d1265d9af1ea5080ed6854110c7d765a3f493faf376931,blues,ddd027ef-a774-4439-914a-aff0eff2a1db,1667156381.8891454
e974cba2faff9330e385a7e3d952bc8c64518a73cfd18e79dc149051e879daa7,reggae,3b3912f4-ad2e-45a8-901d-d38fbe7c4574,1667397018.5532277
9fec2a16349e7b43e89f69d17c563b5a03773019f57de10aa6c362de26598b71,jazz,e10e2d7b-5ad5-4416-ab85-4958115253d3,1667484283.8700545
9fec2a16349e7b43e89f69d17c563b5a03773019f57de10aa6c362de26598b71,electronic,1140dad7-a943-4345-8a95-ba37e8640a9d,1667484394.0558112
ad8a524f8b5e73c5603526c03fc108cf4c97080f5a4b7634056e9713b6ef769f,reggae,2ea7a247-0a60-44ef-a140-2ecfdf1f3d89,1667486083.7972472
