,user,item,time_period,timestamp,position
0,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,538mGMhcnSva7oMoAviUPf,medium,1666364044.2272007,0
1,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4ADhzINVrX053tN4xVIjh1,medium,1666364044.2272007,1
2,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4xNDbq22jC2Vdf6QV2uArL,medium,1666364044.2272007,2
3,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0Wcm43LYI2UD1dOrAU7Wig,medium,1666364044.2272007,3
4,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2eJovRJ0mGlWltuhKMgJKM,medium,1666364044.2272007,4
5,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4FhJ7YSRxATHnaRg4nGs6t,medium,1666364044.2272007,5
6,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4shNlYQOP5rMxmAuOb12ax,medium,1666364044.2272007,6
7,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0JgjL7KShhHQAUV3FFoC1Z,medium,1666364044.2272007,7
8,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0KxaHIM0plOSo29GVPu2ay,medium,1666364044.2272007,8
9,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0kyErLRQKL8DXVP3rSqA4e,medium,1666364044.2272007,9
10,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1n3TbqMfvALAI0BjtiF6Lt,medium,1666364044.2272007,10
11,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2M6vMxGBuWv3IeRhNsEYIm,medium,1666364044.2272007,11
12,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2h96Pdo3XI9manxBI5OSWJ,medium,1666364044.2272007,12
13,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4PLVAN7d2k4brMHmFTjKRa,medium,1666364044.2272007,13
14,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4XVX6tUUOzTFklf9IAJiEn,medium,1666364044.2272007,14
15,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4gTAbKQ04gK8MdOCzANjOu,medium,1666364044.2272007,15
16,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4thduM4ItRZZqJdFZhGfjl,medium,1666364044.2272007,16
17,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4yiv37jghNbGoBK4Y9l7cA,medium,1666364044.2272007,17
18,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6ufjxyxCJeYKw82FoaLjfd,medium,1666364044.2272007,18
19,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7Hf7cnITq4gXZSKKWWkZBi,medium,1666364044.2272007,19
20,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7vn49ZdixEcFx3mFlSwtgF,medium,1666364044.2272007,20
21,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0MKQMuVOTbLnN6sMuie5lC,medium,1666364044.2272007,21
